Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.4354,0.4247,0.4645,0.6072,0.3686,0.2872958861075215,0.43358247712936787
0.4237,0.4247,0.4198,0.4899,0.24,0.16798426312455356,0.42399526200369486
0.4706,0.5098,0.3513,0.5736,0.3291,0.24918555126138278,0.47818267154543403
0.4711,0.5098,0.34,0.543,0.2948,0.2172699047519997,0.47949248177181725
0.5872,0.6276,0.3124,0.3834,0.147,0.09101862519580373,0.6013043254815486
0.5821,0.6276,0.3063,0.4062,0.165,0.10515981118863103,0.5970271842019235
0.3804,0.376,0.3942,0.5581,0.3115,0.2326912519718804,0.3794355567779959
0.3738,0.376,0.3618,0.4337,0.1881,0.1238721157255944,0.3744348895050503
0.6263,0.6814,0.4131,0.5087,0.2587,0.18456712364281552,0.6395962403944794
0.6386,0.6814,0.391,0.4159,0.173,0.11155070025960055,0.6522566389748823
0.5257,0.5725,0.3936,0.5952,0.3543,0.2733111228230142,0.5340998329107242
0.5278,0.5725,0.3342,0.4807,0.231,0.16020840818024631,0.5395941329159705
0.6237,0.6043,0.6636,0.6966,0.4852,0.40500340576057287,0.6213936966153479
0.5847,0.6043,0.5459,0.7107,0.5051,0.4258099334548403,0.586859175995143
0.501,0.5115,0.4314,0.3895,0.1517,0.0946822685749388,0.5045719169108991
0.4787,0.5115,0.3687,0.546,0.2981,0.22028331666963802,0.48572200468471993
0.728,0.7861,0.5675,0.6013,0.3616,0.28036771982125896,0.7382322018634746
0.7273,0.7861,0.477,0.4847,0.2349,0.16356205157190007,0.7426497774075952
0.7596,0.8511,0.5232,0.6222,0.3872,0.3053690492482545,0.7743933312566537
0.7719,0.8511,0.4201,0.4744,0.225,0.1550107083614152,0.7932567135091317
0.3686,0.3866,0.2862,0.467,0.2181,0.14903634847615868,0.3735775665436081
0.3719,0.3866,0.2522,0.3503,0.1227,0.07262737428538345,0.3774998042209592
0.4961,0.5216,0.2949,0.3563,0.127,0.07577737483423097,0.5056313328047382
0.4792,0.5216,0.2729,0.4535,0.2057,0.13849791279127946,0.4913457232690544
0.5843,0.6478,0.4208,0.6227,0.3878,0.30598290556425245,0.5946154450818973
0.6363,0.6478,0.5851,0.4722,0.223,0.15321982319443428,0.6394695128534299
0.5435,0.5605,0.4927,0.5784,0.3346,0.2544314018104899,0.5467483918866715
0.5299,0.5605,0.3275,0.3886,0.151,0.09413627099190695,0.5404533643819065
0.6922,0.7269,0.632,0.7598,0.5772,0.503208795018726,0.6951316157239605
0.6911,0.7269,0.6248,0.7344,0.5394,0.46220184046197854,0.6946262012635286
0.6543,0.7212,0.4704,0.6031,0.3638,0.2824706447136455,0.6659600317510577
0.6668,0.7212,0.531,0.6325,0.4001,0.3181642099628264,0.6752915826134923
0.4679,0.5074,0.292,0.4741,0.2248,0.15476576127490668,0.4785313358115068
0.4798,0.5074,0.3345,0.4354,0.1896,0.12508955909621192,0.4881766549845961
