Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.4716,0.4949,0.2897,0.3577,0.128,0.07652394490795034,0.4803135028120957
0.4918,0.5053,0.3189,0.279,0.0779,0.04111596693985198,0.497938652675633
0.4866,0.5053,0.3204,0.3352,0.1124,0.06505190586854992,0.4940065622540847
0.5201,0.5529,0.4074,0.5394,0.291,0.2136866326209804,0.5272826748926037
0.5241,0.5529,0.3684,0.43,0.1849,0.12124703831434398,0.5329489296251545
0.7255,0.7857,0.5857,0.6562,0.4306,0.3488113155378858,0.7339787085903434
0.7627,0.7719,0.7465,0.7529,0.5668,0.4918619676962842,0.7635257038184454
0.5322,0.5493,0.3552,0.3109,0.0966,0.053895413104331484,0.5393738730300223
0.5091,0.5355,0.3632,0.4248,0.1804,0.11761460928304528,0.5173676339668923
0.5557,0.5969,0.3885,0.4966,0.2466,0.17378680063120341,0.566045019153336
0.5643,0.5969,0.3902,0.4331,0.1876,0.1234441345714826,0.5741877868772194
0.5111,0.5486,0.2833,0.4056,0.1645,0.10477191111174082,0.5234400663174233
0.535,0.5486,0.4056,0.3243,0.1052,0.059891800831551587,0.5405194322362032
0.4318,0.4568,0.3338,0.5042,0.2542,0.1805124261629401,0.43799204175579165
0.4273,0.4568,0.2713,0.4341,0.1884,0.12415793037630006,0.43631240171646146
0.5824,0.6276,0.4007,0.4988,0.2488,0.17571794354926168,0.5936884639805985
0.5773,0.6276,0.4188,0.5631,0.3171,0.23793800633998805,0.5874675737643158
0.5456,0.5884,0.4293,0.6068,0.3683,0.28682297115843447,0.5529378301956902
0.4707,0.4982,0.3379,0.4552,0.2072,0.13979950493515933,0.47853876963090897
0.7102,0.7636,0.5581,0.593,0.3516,0.2707925633879058,0.7198101058981187
0.591,0.6168,0.4969,0.5233,0.2739,0.19809651570277254,0.5969754099761903
0.5983,0.6452,0.402,0.4889,0.239,0.16712833753063672,0.610374685267734
0.452,0.4628,0.3667,0.3567,0.1273,0.07599023251130653,0.45601307840565386
0.5573,0.6084,0.3275,0.4719,0.2227,0.15297657855855318,0.571130274217001
0.5851,0.6084,0.3741,0.3326,0.1106,0.06379778669345712,0.5943486251905651
0.5099,0.5451,0.3562,0.4784,0.2289,0.15829891109459393,0.5192839830639998
0.4996,0.5451,0.3611,0.5728,0.3281,0.2483176120789604,0.5084983850100173
0.5066,0.5388,0.3427,0.4437,0.1968,0.131136495022617,0.5160654610764538
0.5301,0.56,0.4158,0.511,0.2611,0.18666042500634944,0.5373174930934673
0.4589,0.4777,0.3002,0.3439,0.1182,0.06935542534907568,0.4661878425754072
0.457,0.4777,0.3107,0.3762,0.1415,0.08680544704691916,0.46436135719486354
0.5607,0.5851,0.2889,0.2997,0.0898,0.04917188501280125,0.5712178968395497
0.5651,0.5851,0.2281,0.2441,0.0596,0.029438755631749827,0.5748909072268362
0.4616,0.4748,0.3236,0.3095,0.0958,0.05329072557651888,0.46715011045714905
0.4323,0.4462,0.3121,0.3394,0.1152,0.06710881883124035,0.43776665895130934
0.5564,0.5799,0.504,0.6701,0.449,0.3675776059362014,0.5594995926158364
0.5598,0.5799,0.2904,0.2731,0.0746,0.03897662676400598,0.5690395694979934
0.7309,0.7804,0.4107,0.3931,0.1546,0.09688523779907797,0.7477452872005192
0.7221,0.7804,0.5305,0.5514,0.304,0.22577034905223886,0.7343717939238958
0.594,0.6195,0.2855,0.2874,0.0826,0.04428094794747179,0.6053373011175538
0.45,0.474,0.247,0.3436,0.1181,0.06920426936884301,0.4593074201097226
0.5806,0.6139,0.378,0.405,0.164,0.10438487080571113,0.59160307102713
0.5723,0.6139,0.42,0.5223,0.2728,0.19715149042193675,0.581967805704907
0.5975,0.6417,0.4497,0.5472,0.2994,0.22149566037297053,0.6068843488509611
0.5876,0.6283,0.3529,0.4165,0.1735,0.11195345846871381,0.6005722365513904
0.4931,0.5213,0.3317,0.4178,0.1746,0.11282909095295514,0.5020765668433764
0.4933,0.5213,0.2776,0.3602,0.1298,0.07786804500416639,0.5036944659501971
0.5126,0.53,0.451,0.5317,0.2827,0.20614207856006556,0.5164980879983169
0.2988,0.2975,0.3054,0.4523,0.2046,0.13758353676477278,0.29845545505478466
0.6282,0.6791,0.3414,0.4215,0.1776,0.11534371826908842,0.6441766189637752
0.6324,0.6791,0.3879,0.4373,0.1912,0.1264586943000976,0.6464092569070464
0.3619,0.3698,0.2901,0.3323,0.1104,0.06365402248405931,0.36503037991232196
0.3608,0.3698,0.3249,0.5,0.25,0.1767766952966369,0.3630550723934772
0.4509,0.4608,0.395,0.4226,0.1786,0.11609773093798074,0.4539554106025294
0.4465,0.4608,0.3371,0.3615,0.1307,0.07857253300689811,0.45178862428300764
0.5054,0.5194,0.3664,0.3182,0.1012,0.05711503381780723,0.5111335390240693
0.5384,0.5588,0.4305,0.4343,0.1886,0.1243009859343654,0.5446153495417195
0.3442,0.3288,0.3771,0.6842,0.4681,0.3872199054891104,0.34228216051479576
0.4348,0.4638,0.3723,0.6815,0.4645,0.3834110722752019,0.43844086140680955
0.2528,0.2252,0.3009,0.7588,0.5758,0.5015547012254489,0.2504855862339083
0.355,0.3509,0.3706,0.5102,0.2603,0.1859307134155411,0.3539885742420289
0.5519,0.5693,0.454,0.4228,0.1788,0.11623514095047963,0.5572936482377912
0.5471,0.5693,0.287,0.2922,0.0854,0.046153063024967876,0.5568457902362062
0.6137,0.6426,0.4834,0.4713,0.2221,0.15249078474973018,0.6215355947540797
