Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.4219,0.4437,0.3165,0.454,0.2061,0.13887997579573522,0.428188678968234
0.5881,0.642,0.3984,0.533,0.2841,0.2074044272379281,0.6001550992067025
0.6016,0.642,0.3945,0.4417,0.1951,0.12966372625972467,0.6135917476118875
0.4117,0.4245,0.3205,0.3743,0.1401,0.08571356680089373,0.41628953711192995
0.4081,0.4245,0.3115,0.4124,0.1701,0.10921860910960964,0.41337351625006286
0.615,0.6581,0.4728,0.5501,0.3026,0.22444199086963493,0.6241342415416467
0.6291,0.6581,0.3526,0.3238,0.1049,0.059661217407475944,0.6408996895436296
0.4007,0.4347,0.2576,0.4876,0.2377,0.16601955382478742,0.40948424535341194
0.4132,0.4347,0.2488,0.3619,0.131,0.07879006482004276,0.42112268451694596
0.5921,0.6004,0.5582,0.4959,0.2459,0.1731750296745512,0.5941707621902819
0.5786,0.6004,0.3941,0.3436,0.1181,0.06920426936884301,0.5870472280556642
0.5398,0.5965,0.3578,0.5585,0.3119,0.23310841080957892,0.5513758428922605
0.5771,0.5965,0.4871,0.4643,0.2156,0.14689151470049694,0.5824882722103573
0.5278,0.564,0.3093,0.4074,0.166,0.10593819319728491,0.5396022009427653
0.5056,0.564,0.344,0.6011,0.3613,0.2801346433342258,0.5158569223523162
0.5961,0.6271,0.3926,0.3898,0.1519,0.09486468892815238,0.6067817179523528
0.6061,0.6271,0.5188,0.4906,0.2407,0.1685849725964138,0.6114761874743043
0.561,0.5911,0.4363,0.4909,0.241,0.16884281345037175,0.5687386805639308
0.5429,0.5911,0.3672,0.5233,0.2739,0.19809651570277254,0.5540797689213427
0.6793,0.739,0.4701,0.5341,0.2853,0.20847618203951798,0.6926116257948779
0.6592,0.739,0.3988,0.5538,0.3067,0.2282350704033119,0.6757828090711411
0.7739,0.8492,0.3323,0.413,0.1705,0.10961629757154269,0.7981367051126272
0.795,0.8492,0.4408,0.3911,0.1529,0.09565761309068717,0.8135441813213566
0.633,0.6959,0.4247,0.5496,0.3021,0.2239323357768377,0.6462808767139628
0.6663,0.6959,0.6104,0.7282,0.5303,0.4525084427061768,0.6692636853915317
0.5188,0.5537,0.2467,0.3581,0.1282,0.07673805767524362,0.5318204132812352
0.522,0.5537,0.3188,0.395,0.1561,0.09806019195817946,0.5327226990654319
0.5645,0.5983,0.3371,0.3856,0.1487,0.0923299420706282,0.5762218897697406
0.5597,0.5983,0.3246,0.4049,0.164,0.10432044763221135,0.5724447271232223
0.5448,0.5692,0.2232,0.2756,0.076,0.03987475549803758,0.5559323777893682
0.5226,0.5692,0.3081,0.4662,0.2174,0.14839889699107137,0.5354600233195191
0.4674,0.4882,0.3608,0.4417,0.1951,0.12966372625972467,0.47357692382123023
0.4635,0.4882,0.3693,0.5118,0.262,0.18739185221940624,0.4694354353053365
0.4637,0.48,0.3897,0.4695,0.2204,0.15103896171690878,0.46815086309268544
0.481,0.48,0.4879,0.3833,0.147,0.09095928715389287,0.48065866653043526
0.5124,0.5584,0.4038,0.651,0.4237,0.3419420188105741,0.5190061697397546
0.5213,0.5584,0.4195,0.6039,0.3647,0.28340830588275734,0.5277274435682894
0.5486,0.5832,0.4161,0.511,0.2611,0.18666042500634944,0.556915347405814
0.5564,0.5832,0.3795,0.3892,0.1515,0.09450005885525359,0.565612370074289
0.4934,0.5164,0.3658,0.4246,0.1803,0.11747622288714166,0.500567968137081
0.4866,0.5164,0.3589,0.4825,0.2328,0.1617123894259424,0.49447572548385077
0.6421,0.6748,0.378,0.3518,0.1238,0.07340735700588664,0.6545026698045747
0.6459,0.6748,0.4386,0.3732,0.1393,0.08508521246911299,0.656278756733332
0.6845,0.7237,0.2846,0.3131,0.0981,0.05485392003023162,0.7008661688619554
0.6746,0.7237,0.3064,0.365,0.1332,0.08048818999160684,0.6926143092959134
0.578,0.6051,0.3314,0.3314,0.1099,0.06322389682517218,0.58882461283769
0.5214,0.6051,0.3099,0.6292,0.3959,0.3140304668817373,0.5345523253760812
0.405,0.4126,0.3683,0.455,0.2071,0.1396459972014057,0.4071717199102056
0.4032,0.4126,0.3279,0.353,0.1246,0.07403494591740442,0.40676149358729863
0.4713,0.4941,0.3864,0.5185,0.2688,0.19358508870043398,0.4766323604907488
0.4725,0.4941,0.3655,0.4487,0.2014,0.13486217944626844,0.47881772467979106
0.5847,0.6325,0.2956,0.4067,0.1654,0.10548371848074684,0.6003534706915427
0.6095,0.6325,0.5291,0.5344,0.2856,0.20876905418176947,0.6146415677976573
0.7047,0.7656,0.5452,0.6182,0.3822,0.3004847956245301,0.7146752608731249
0.7147,0.7656,0.5087,0.4973,0.2473,0.17439986647132721,0.7274500248717647
0.6082,0.6444,0.3879,0.4056,0.1645,0.10477191111174082,0.6200746212228386
