Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.7827,0.8581,0.4477,0.4744,0.225,0.1550107083614152,0.8030213810305051
0.5967,0.6416,0.3909,0.467,0.2181,0.14903634847615868,0.6090828280127742
0.6111,0.6416,0.3622,0.3503,0.1227,0.07262737428538345,0.6226818846676785
0.7011,0.7564,0.2655,0.3563,0.127,0.07577737483423097,0.7218211789759419
0.693,0.7564,0.3849,0.4535,0.2057,0.13849791279127946,0.7112071419157769
0.7913,0.862,0.6088,0.6227,0.3878,0.30598290556425245,0.8026769634129357
0.7864,0.862,0.4473,0.4722,0.223,0.15321982319443428,0.806901865714791
0.6275,0.6609,0.5278,0.5784,0.3346,0.2544314018104899,0.6339038489692622
0.6253,0.6609,0.3901,0.3886,0.151,0.09413627099190695,0.6376011634103875
0.834,0.8905,0.7362,0.7598,0.5772,0.503208795018726,0.8388470843646693
0.8355,0.8905,0.7335,0.7344,0.5394,0.46220184046197854,0.8408723173200194
0.754,0.839,0.5203,0.6031,0.3638,0.2824706447136455,0.7688047133933895
0.7821,0.839,0.6399,0.6325,0.4001,0.3181642099628264,0.7909433969418839
0.4954,0.5243,0.3666,0.4741,0.2248,0.15476576127490668,0.5031644923745341
0.4841,0.5243,0.2722,0.4354,0.1896,0.12508955909621192,0.49627105102149616
0.7118,0.7785,0.3992,0.4618,0.2132,0.14492216770071917,0.7304888951759282
0.7222,0.7785,0.5239,0.5331,0.2841,0.20750172255342453,0.7347485604986252
0.7831,0.873,0.507,0.5708,0.3258,0.24615570811958773,0.8007032648610848
0.7874,0.873,0.4526,0.5056,0.2557,0.18176809814742337,0.8083381525690465
0.5757,0.6301,0.4189,0.5886,0.3465,0.26579734859073245,0.585751352813417
0.587,0.6301,0.4735,0.6158,0.3792,0.2975768974034222,0.5941864890345782
0.5941,0.6233,0.5121,0.597,0.3564,0.2753821763345569,0.5992895515425722
0.5846,0.6233,0.4618,0.5612,0.315,0.23593596939681874,0.5924701997505726
0.6076,0.6445,0.458,0.497,0.247,0.17413696535272744,0.6168400719024912
0.6139,0.6445,0.3953,0.374,0.1399,0.08554192229909262,0.624862760203875
0.4743,0.4815,0.4352,0.4294,0.1844,0.12082452605367242,0.4765088747825838
0.4798,0.4815,0.4719,0.4667,0.2178,0.148797112045789,0.4802565669684739
0.6348,0.6887,0.3927,0.4719,0.2227,0.15297657855855318,0.6494268108516635
0.6278,0.6887,0.3416,0.4611,0.2126,0.14437360653999415,0.6449100361773062
0.6475,0.6827,0.463,0.4366,0.1906,0.12595323557334906,0.6581235566973845
0.6462,0.6827,0.3612,0.3577,0.128,0.07652394490795034,0.6598463993863976
0.5117,0.5214,0.3864,0.279,0.0779,0.04111596693985198,0.5160685520987686
0.5088,0.5214,0.3961,0.3352,0.1124,0.06505190586854992,0.5137468482987388
0.6876,0.747,0.4836,0.5394,0.291,0.2136866326209804,0.7006247186715591
0.686,0.747,0.3559,0.43,0.1849,0.12124703831434398,0.7047080562406394
0.7971,0.85,0.6742,0.6562,0.4306,0.3488113155378858,0.804536984850912
0.7819,0.85,0.6619,0.7529,0.5668,0.4918619676962842,0.7879840507184869
0.6564,0.6898,0.3113,0.3109,0.0966,0.053895413104331484,0.6704437967123309
0.6431,0.6898,0.3847,0.4248,0.1804,0.11761460928304528,0.6576921365252402
0.6571,0.7287,0.3668,0.4966,0.2466,0.17378680063120341,0.6751183418022664
0.6666,0.7287,0.336,0.4331,0.1876,0.1234441345714826,0.6855500914692019
0.5236,0.5542,0.3375,0.4056,0.1645,0.10477191111174082,0.5336490854541487
0.5417,0.5542,0.4225,0.3243,0.1052,0.059891800831551587,0.5467579666119439
